Scanning directory: C:\Users\VICTUS\Desktop\Sertaç

C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\push-to-checkout.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0790s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\sendemail-validate.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0697s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\hooks\update.sample: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0677s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\info\exclude: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.1005s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\logs\HEAD: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.1019s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\logs\refs\heads\main: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0622s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\69\333ca013727d70fe8c1c7120e9514cc082099b: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00, Time: 2.0670s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\a3\ad582ad1f17f7ae2b4f5ba14132328b89d73a9: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 0.80, Time: 2.1050s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\a9\7c292d0c4be91fde38014a7608820a6e2d5387: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0922s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\af\6d951f92d8cde8b76d0aa425d809b34c732354: NOT PASSWORD PROTECTED (Encrypted: True, Confidence: 1.00, Time: 2.0732s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\b9\2a2d67d370a1498f8fd2a4cc4ce20d639fe7ff: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30, Time: 2.0914s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\c1\9c36aec958f349e2a0cf1b64c35def5d065032: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0910s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\cd\0b8b488c76946dbc194a0d586e7c23017d684b: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.30, Time: 2.0566s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\objects\f8\0e7600f802b13f778cd372304c908749146190: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0897s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng201\PA1\.git\refs\heads\main: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0772s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Activity Diagram2024.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.2237s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Başlıksız Diyagram.drawio: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0899s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Başlıksız Diyagram.drawio.png: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0710s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\BeePlan_ Çankaya University Course Scheduling System (3) (1).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.2764s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\class diagram.drawio: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0919s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\ClassDiagram.png: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 0.10, Time: 2.0772s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Ders Programı Oluşturma (ProBEE).docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1084s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\First_Assignment.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1756s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\R LAB 2.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1731s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\R LAB 3.pptx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1168s)
C:\Users\VICTUS\Desktop\Sertaç\cankayaBoii\seng271\Second_Assignment.docx: NOT PASSWORD PROTECTED (Encrypted: False, Confidence: 1.00, Time: 2.1700s)
